Thread ID: 2221388780
Total: 166204.563477

 %self     total     self     wait    child    calls  name
10838690666791.53      0.00 18014398509315780.00     0.00 166204.56        1  ActiveSupport::Testing::Performance::Profiler#run
 67.08  115237.32 111484.80     0.00  3752.52    10000  <Module::Benchmark>#realtime
  7.33  12188.08 12188.08     0.00     0.00    20000  Array#-
  4.04   6719.33  6719.33     0.00     0.00    20000  Array#flatten
  1.52   2520.11  2520.11     0.00     0.00    20000  Array#join
  1.50   2500.58  2500.58     0.00     0.00    20000  Hash#keys
  1.50   2500.81  2500.45     0.00     0.36    20000  <Class::ActiveRecord::Base>#safe_to_array
  1.32  166125.32  2187.95     0.00 163937.37    10000  <Class::User(id: integer, user_name: string)>#find_by_id
  1.32   2188.22  2187.86     0.00     0.36    10000  Mysql#query
  1.03  137630.62  1719.20     0.00 135911.42    10000  <Class::ActiveRecord::Base>#find_initial
  1.02   1692.88  1692.88     0.00     0.00   150000  Module#name
  0.94   1562.86  1562.86     0.00     0.00    20000  <Class::Time>#allocate
  0.76  11066.82  1269.98     0.00  9796.85    10000  <Class::ActiveRecord::Base>#merge_conditions
  0.75   1251.24  1250.45     0.00     0.80    10000  <Class::ActiveRecord::Base>#expand_range_bind_variables
  0.75   1250.73  1250.37     0.00     0.36    10000  Mysql::Result#all_hashes
  0.75   1250.36  1250.36     0.00     0.00    10000  Hash#values
  0.75   1696.84  1250.36     0.00   446.49    10000  Enumerable#map
  0.71   1172.23  1172.23     0.00     0.00    10000  Array#uniq
  0.66   1095.96  1094.44     0.00     1.52    20000  ActiveSupport::CoreExtensions::Array::ExtractOptions#extract_options!
  0.66   1566.99  1094.20     0.00   472.79    10000  <Class::ActiveRecord::Base>#expand_hash_conditions_for_aggregates
  0.66   1564.38  1094.20     0.00   470.19    10000  <Class::ActiveRecord::Base>#construct_attributes_from_arguments
  0.66   1094.11  1094.11     0.00     0.00    10000  <Class::Hash>#allocate
  0.45   1031.88   742.55     0.00   289.33    10000  String#gsub
  0.42    704.02   704.02     0.00     0.00    30000  String#blank?
  0.38    625.58   625.58     0.00     0.00    20000  Hash#[]=
  0.33  117039.90   547.35     0.00 116492.55    10000  ActiveRecord::ConnectionAdapters::MysqlAdapter#select
  0.29  118746.00   479.25     0.00 118266.75    10000  <Class::ActiveRecord::Base>#find_by_sql
  0.28  135598.35   469.20     0.00 135129.15    10000  <Class::ActiveRecord::Base>#find_every
  0.24  117431.02   391.12     0.00 117039.90    10000  ActiveRecord::ConnectionAdapters::DatabaseStatements#select_all_without_query_cache
  0.24  148945.33   391.07     0.00 148554.26    10000  <Class::ActiveRecord::Base>#find
  0.19    919.28   322.84     0.00   596.43    20000  Hash#each
  0.19  117744.00   312.98     0.00 117431.02    10000  ActiveRecord::ConnectionAdapters::QueryCache#select_all
  0.19    312.86   312.86     0.00     0.00    10000  Hash#update
  0.19   1407.33   312.86     0.00  1094.47    10000  Hash#merge
  0.14  11527.73   225.06     0.00 11302.67    10000  <Class::ActiveRecord::Base>#add_conditions!
  0.12    196.33   196.33     0.00     0.00    40000  Module#to_s
  0.09   9006.69   157.27     0.00  8849.64    50000  Array#each
  0.09  21565.49   156.93     0.00 21408.56    20000  ActiveSupport::CoreExtensions::Hash::Keys#assert_valid_keys
  0.09  21722.41   156.92     0.00 21565.49    20000  <Class::ActiveRecord::Base>#validate_find_options
  0.08  12570.03   137.17     0.00 12432.87    10000  <Class::ActiveRecord::Base>#construct_finder_sql
  0.05     87.60    87.60     0.00     0.00    30000  Fixnum#to_s
  0.05    119.61    78.60     0.00    41.01    10000  ActiveRecord::ConnectionAdapters::MysqlAdapter#add_limit_offset!
  0.05  166203.80    78.48     0.00 166125.32        1  Integer#times
  0.05     78.48    78.48     0.00     0.00    10000  Array#+
  0.02    238.53    40.17     0.00   198.36    40000  <Class::ActiveRecord::Base>#scoped_methods
  0.02     29.66    29.66     0.00     0.00    10000  Symbol#to_s


