Thread ID: 2221388780
Total: 2694179.000000

 %self     total     self     wait    child    calls  name
  5.94  300408.00 160075.00     0.00 140333.00    20000  Hash#each
  5.57  150002.00 150002.00     0.00     0.00   150000  Module#name
  5.20  561185.00 140094.00     0.00 421091.00    70000  <Class::ActiveRecord::Base>#retrieve_connection
  5.20  421017.00 140092.00     0.00 280925.00    70000  ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection
  4.46  941328.00 120108.00     0.00 841238.00    50000  Array#each
  4.08  1562569.00 110055.00     0.00 1452514.00    10000  <Class::ActiveRecord::Base>#construct_finder_sql
  2.97  2643899.00 80055.00     0.00 2563844.00    10000  <Class::User(id: integer, user_name: string)>#find_by_id
  2.62  210609.00 70477.00     0.00 140260.00   140000  ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection_pool
  2.60  70316.00 70150.00     0.00   166.00    70000  ActiveRecord::ConnectionAdapters::ConnectionPool#connection
  2.60  631275.00 70090.00     0.00 561185.00    70000  <Class::ActiveRecord::Base>#connection
  2.60  200368.00 70037.00     0.00 130331.00    10000  String#gsub
  2.23  1011385.00 60037.00     0.00 951348.00    10000  <Class::ActiveRecord::Base>#add_conditions!
  2.23  60019.00 60019.00     0.00     0.00    30000  String#blank?
  2.23  260426.00 60000.00     0.00 200426.00    20000  <Class::ActiveRecord::Base>#quoted_table_name
  1.86  400555.00 50037.00     0.00 350518.00    10000  <Class::ActiveRecord::Base>#find_by_sql
  1.86  2693918.00 50019.00     0.00 2643899.00        1  Integer#times
  1.49  80110.00 40074.00     0.00 40036.00    40000  <Class::ActiveRecord::Base>#scoped_methods
  1.49  120221.00 40074.00     0.00 80147.00    20000  <Class::ActiveRecord::Base>#set_readonly_option!
  1.49  120182.00 40072.00     0.00 80110.00    40000  <Class::ActiveRecord::Base>#current_scoped_methods
  1.49  100092.00 40055.00     0.00 60037.00    10000  <Module::Benchmark>#realtime
  1.49  160220.00 40038.00     0.00 120182.00    40000  <Class::ActiveRecord::Base>#scope
  1.49  2333604.00 40037.00     0.00 2293567.00    10000  <Class::ActiveRecord::Base>#find
  1.49  670960.00 40018.00     0.00 630942.00    10000  <Class::ActiveRecord::Base>#sanitize_sql_hash_for_conditions
  1.49  40018.00 40018.00     0.00     0.00    40000  Module#to_s
  1.49  2133327.00 40018.00     0.00 2093309.00    10000  <Class::ActiveRecord::Base>#find_every
  1.48  40000.00 40000.00     0.00     0.00    20000  Array#-
  1.48  160076.00 40000.00     0.00 120076.00    20000  <Class::ActiveRecord::Base>#validate_find_options
  1.48  40000.00 40000.00     0.00     0.00    20000  Array#flatten
  1.12  851274.00 30093.00     0.00 821181.00    20000  <Class::ActiveRecord::Base>#sanitize_sql
  1.11  931312.00 30019.00     0.00 901293.00    10000  <Class::ActiveRecord::Base>#merge_conditions
  1.11  30000.00 30000.00     0.00     0.00    30000  Fixnum#to_s
  1.11  250424.00 30000.00     0.00 220424.00    10000  <Class::ActiveRecord::Base>#replace_bind_variables
  0.74  200260.00 20055.00     0.00 180205.00    10000  ActiveRecord::ConnectionAdapters::MysqlAdapter#select
  0.74  20038.00 20038.00     0.00     0.00    20000  Array#join
  0.74  20038.00 20038.00     0.00     0.00    20000  <Class::ActiveRecord::Base>#safe_to_array
  0.74  120076.00 20038.00     0.00 100038.00    20000  ActiveSupport::CoreExtensions::Hash::Keys#assert_valid_keys
  0.74  110259.00 20036.00     0.00 90223.00    10000  <Class::ActiveRecord::Base>#add_lock!
  0.74  150296.00 20036.00     0.00 130260.00    10000  <Class::ActiveRecord::Base>#add_limit!
  0.74  160187.00 20020.00     0.00 140167.00    10000  ActiveRecord::ConnectionAdapters::AbstractAdapter#log
  0.74  70075.00 20019.00     0.00 50056.00    10000  <Class::ActiveRecord::Base>#merge_includes
  0.74  20019.00 20019.00     0.00     0.00    20000  Hash#keys
  0.74  20019.00 20019.00     0.00     0.00    20000  <Class::User(id: integer, user_name: string)>#table_name
  0.74  40075.00 20019.00     0.00 20056.00    10000  ActiveRecord::ConnectionAdapters::MysqlAdapter#add_limit_offset!
  0.74  20036.00 20018.00     0.00    18.00    20000  Enumerable#any?
  0.74  20018.00 20018.00     0.00     0.00    10000  Array#uniq
  0.74  2153364.00 20018.00     0.00 2133346.00    10000  <Class::ActiveRecord::Base>#find_initial
  0.74  20000.00 20000.00     0.00     0.00    20000  Time#to_f
  0.74  230314.00 20000.00     0.00 210314.00    10000  Enumerable#map
  0.74  20000.00 20000.00     0.00     0.00    20000  <Class::Time>#allocate
