Thread ID: 2221388780
Total: 14.375439

 %self     total     self     wait    child    calls  name
  9.07      1.96     1.30     0.00     1.08   140000  ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection_pool
  4.74      0.93     0.68     0.00     0.25   420000  Hash#[]
  4.57      1.12     0.66     0.00     0.47    10000  <Module::Benchmark>#realtime
  3.02      3.35     0.43     0.00     2.91    70000  ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection
  2.89      0.96     0.42     0.00     0.54    70000  ActiveRecord::ConnectionAdapters::ConnectionPool#connection
  2.50      8.55     0.36     0.00     8.19    10000  <Class::ActiveRecord::Base>#construct_finder_sql
  2.21      0.48     0.32     0.00     0.16    40000  <Class::ActiveRecord::Base>#scoped_methods
  2.20      4.50     0.32     0.00     4.30    50000  Array#each
  2.13      0.47     0.31     0.00     0.16    70000  ActiveRecord::ConnectionAdapters::ConnectionPool#current_connection_id
  2.08      0.87     0.30     0.00     0.58    20000  <Class::ActiveRecord::Base>#set_readonly_option!
  2.02      3.78     0.29     0.00     3.49    70000  <Class::ActiveRecord::Base>#retrieve_connection
  2.01      0.31     0.29     0.00     0.02    10000  Mysql#query
  1.95      1.46     0.28     0.00     1.18    20000  Hash#each
  1.77      4.39     0.25     0.00     4.14    20000  <Class::ActiveRecord::Base>#sanitize_sql
  1.71      0.25     0.25     0.00     0.00   220000  Hash#default
  1.70      0.24     0.24     0.00     0.00   220000  Module#===
  1.56      0.32     0.22     0.00     0.10    10000  ActiveRecord::ConnectionAdapters::Quoting#quote
  1.50      0.22     0.22     0.00     0.00   150000  Module#name
  1.48      3.99     0.21     0.00     3.78    70000  <Class::ActiveRecord::Base>#connection
  1.33     11.94     0.19     0.00    11.74    10000  <Class::ActiveRecord::Base>#find_every
  1.30      0.24     0.19     0.00     0.05    10000  <Class::ActiveRecord::Base>#add_joins!
  1.28     14.29     0.18     0.00    14.11    10000  <Class::User(id: integer, user_name: string)>#find_by_id
  1.24      0.45     0.18     0.00     0.28    20000  ActiveSupport::CoreExtensions::Hash::Keys#assert_valid_keys
  1.23      4.81     0.18     0.00     4.63    10000  <Class::ActiveRecord::Base>#add_conditions!
  1.17      0.25     0.17     0.00     0.08    10000  <Class::ActiveRecord::Base>#attribute_condition
  1.14      0.68     0.16     0.00     0.52    40000  <Class::ActiveRecord::Base>#current_scoped_methods
