Thread ID: 2221388780
Total: 1058.715820

 %self     total     self     wait    child    calls  name
1701532948111008.25      0.00 18014398509480926.00     0.00  1058.72        1  ActiveSupport::Testing::Performance::Profiler#run
 41.66    456.68   441.11     0.00    15.57      107  Rack::Lint::Assertion#assert
  8.45    527.70    89.48     0.00   519.43      581  Proc#call
  7.62    294.26    80.65     0.00   287.60      144  Array#each
  4.26     45.09    45.09     0.00     0.00      342  String#sub
  1.50     29.53    15.89     0.00    13.64      135  Hash#[]
  1.18     12.54    12.54     0.00     0.00       88  String#inspect
  0.75      7.95     7.95     0.00     0.00       46  String#downcase
  0.66      7.89     7.02     0.00     0.88       53  Hash#[]=
  0.64      6.75     6.75     0.00     0.00       18  String#split
  0.63      6.70     6.70     0.00     0.00       38  Kernel#hash
  0.63      9.05     6.62     0.00     2.43        1  Kernel#raise
  0.59      6.27     6.27     0.00     0.00       41  Hash#default
  0.59      6.27     6.27     0.00     0.00       36  Kernel#respond_to?
  0.59    207.30     6.22     0.00   201.08        1  ActionController::Response#each
  0.56      5.94     5.94     0.00     0.00       25  <Class::Hash>#allocate
  0.53      5.62     5.62     0.00     0.00        1  Symbol#to_proc
  0.48      5.08     5.08     0.00     0.00        1  Kernel#lambda
  0.46     50.58     4.85     0.00    46.61       25  Class#new
  0.45    163.88     4.78     0.00   159.10       16  Hash#each
  0.42    525.20     4.45     0.00   520.75        1  ActiveRecord::QueryCache::ClassMethods#cache
  0.41      4.35     4.35     0.00     0.00        5  Array#join
  0.38      4.07     4.07     0.00     0.00        7  String#+
  0.34      3.64     3.64     0.00     0.00       19  Kernel#is_a?
  0.34      3.64     3.64     0.00     0.00       19  Array#[]
  0.32      3.42     3.42     0.00     0.00       18  <Class::Thread>#current
  0.30      3.20     3.20     0.00     0.00       14  Array#empty?
  0.29     12.04     3.10     0.00     8.94       16  Rack::Utils::HeaderHash#[]
  0.29    127.75     3.03     0.00   124.71        6  Array#map
  0.28      2.98     2.98     0.00     0.00       23  Kernel#class
  0.28      2.98     2.98     0.00     0.00       14  <Class::Object>#allocate
  0.28     12.24     2.93     0.00     9.31       13  ActiveSupport::BufferedLogger#buffer
  0.27      2.84     2.84     0.00     0.00       12  String#to_s
  0.26      4.88     2.77     0.00     2.11       28  Hash#delete
  0.26      2.77     2.77     0.00     0.00       16  Module#===
  0.24      2.55     2.55     0.00     0.00       19  String#==
  0.21      2.23     2.23     0.00     0.00       17  Symbol#to_s
  0.20      2.16     2.16     0.00     0.00       12  String#[]
  0.20    331.21     2.12     0.00   329.75       15  Kernel#send
  0.19    200.65     2.02     0.00   198.63        1  String#each_line
  0.19      1.98     1.98     0.00     0.00        2  Array#-
  0.17      1.83     1.83     0.00     0.00       16  Hash#initialize_copy
  0.17      3.46     1.79     0.00     1.67        7  HashWithIndifferentAccess#update
  0.17      6.49     1.78     0.00     4.71       10  Rack::Utils::HeaderHash#delete
  0.17     12.09     1.78     0.00    10.31       10  Rack::Utils::HeaderHash#[]=
  0.16      2.82     1.69     0.00     1.12        2  <Module::Rack::Utils>#parse_nested_query
  0.16      1.68     1.68     0.00     0.00       12  ActionController::Base#response
  0.16      1.67     1.67     0.00     0.00        7  Hash#each_pair
  0.16      2.11     1.67     0.00     0.44        7  Kernel#String
  0.16     77.85     1.67     0.00    76.18      120  Enumerable#any?
  0.16      1.67     1.67     0.00     0.00        7  Kernel#==
  0.16      1.67     1.67     0.00     0.00        7  Hash#initialize
  0.16      1.67     1.67     0.00     0.00        9  Fixnum#==
  0.15     77.81     1.61     0.00    76.20        4  Array#reject
  0.15   1054.39     1.57     0.00  1052.82        1  ActionController::Integration::Session#process
  0.14      1.47     1.47     0.00     0.00        7  Fixnum#to_s
  0.14      1.45     1.45     0.00     0.00        8  Array#size
  0.13      1.35     1.35     0.00     0.00        7  ActionController::Base#logger
  0.13      6.12     1.35     0.00     4.77        5  HashWithIndifferentAccess#initialize
  0.13      1.33     1.33     0.00     0.00        3  Rack::Request#initialize
  0.13      3.91     1.33     0.00     2.58        4  Kernel#dup
  0.12    541.08     1.27     0.00   540.68        5  Mutex#synchronize
  0.12      6.20     1.25     0.00     4.95        2  Rack::Utils::HeaderHash#initialize
  0.12      1.24     1.24     0.00     0.00        5  ActionController::Base#request
  0.12      1.24     1.24     0.00     0.00        6  NilClass#to_s
  0.12      1.23     1.23     0.00     0.00        5  Fixnum#>=
  0.12      1.23     1.23     0.00     0.00       14  Kernel#kind_of?
  0.12   1058.72     1.23     0.00  1058.36        9  Kernel#__send__
  0.12      2.47     1.23     0.00     1.23        5  Array#include?
  0.12      1.23     1.23     0.00     0.00       18  Hash#include?
  0.12      1.23     1.23     0.00     0.00       53  Kernel#instance_of?
  0.11      1.19     1.19     0.00     0.00        6  String#blank?
  0.11      2.93     1.18     0.00     1.75        4  ActionView::Renderable#method_name_without_locals
  0.11     50.10     1.16     0.00    48.94        2  ActionView::Base#render
  0.11      1.15     1.15     0.00     0.00        2  Kernel#instance_variable_names
  0.11      5.88     1.13     0.00     4.75        4  HashWithIndifferentAccess#default
  0.11      2.40     1.13     0.00     1.27       10  HashWithIndifferentAccess#convert_key
  0.11      1.12     1.12     0.00     0.00       12  Module#to_s
  0.11     14.24     1.12     0.00    13.12        4  ActiveSupport::BufferedLogger#flush
  0.11      1.12     1.12     0.00     0.00        4  Module#name
  0.11      3.74     1.12     0.00     2.62        4  ActiveSupport::BufferedLogger#clear_buffer
  0.11      1.12     1.12     0.00     0.00        4  NilClass#blank?
  0.10      9.56     1.11     0.00     8.46        4  ActionController::Response#content_type
  0.10      6.80     1.11     0.00     5.70        4  ActionView::Renderable#method_name
  0.10      1.08     1.08     0.00     0.00        2  Module#extend_object
  0.10      1.04     1.04     0.00     0.00        8  Kernel#to_s
  0.10     10.19     1.03     0.00     9.16        1  ActionController::Response#initialize
  0.10      1.02     1.02     0.00     0.00        4  ActionController::Base#params
  0.10      1.02     1.02     0.00     0.00        4  Module#==
  0.10      1.02     1.02     0.00     0.00        6  Kernel#instance_variable_get
  0.10      1.02     1.02     0.00     0.00        4  Integer#to_i
  0.10      1.02     1.02     0.00     0.00       14  Regexp#match
  0.10      1.02     1.02     0.00     0.00        4  String#to_sym
  0.10      1.02     1.02     0.00     0.00        4  Hash#has_key?
  0.10      1.02     1.02     0.00     0.00        4  Array#<<
  0.10      1.02     1.02     0.00     0.00        1  Hash#update
  0.10      1.01     1.01     0.00     0.00        4  String#gsub
  0.09      1.19     0.98     0.00     0.22        1  ActionController::Request#session
  0.09      0.95     0.95     0.00     0.00        8  Kernel#instance_variable_set
  0.09      8.64     0.91     0.00     7.73        3  ActiveSupport::CoreExtensions::Hash::IndifferentAccess#with_indifferent_access
  0.09      4.35     0.91     0.00     3.44        3  <Class::Rack::Request>#new
  0.09      0.91     0.91     0.00     0.00        2  Array#flatten
  0.08     25.48     0.90     0.00    24.58        3  ActiveSupport::BufferedLogger#add
  0.08     15.85     0.90     0.00    14.95        3  ActiveSupport::BufferedLogger#auto_flush
  0.08      0.89     0.89     0.00     0.00        3  Mime::Type#to_s
  0.08      4.17     0.89     0.00     3.28       14  Hash#merge
  0.08      6.57     0.89     0.00     5.68        3  ActionController::Response#charset
  0.08      7.99     0.89     0.00     7.10        2  ActionController::Request#normalize_parameters
  0.08      3.46     0.84     0.00     2.62        1  ActionController::Request#path
  0.08      8.89     0.83     0.00     8.06        2  Hash#inspect
  0.08      0.82     0.82     0.00     0.00        4  String#sub!
  0.08     79.39     0.81     0.00    78.58        1  ActionController::Rescue#rescue_action_locally
  0.08      0.80     0.80     0.00     0.00        3  Hash#key?
  0.08      0.80     0.80     0.00     0.00        4  Object#initialize
  0.08      1.16     0.80     0.00     0.37        3  Kernel#Array
  0.08      0.80     0.80     0.00     0.00        3  IO#write
  0.08      0.80     0.80     0.00     0.00        3  Class#superclass
  0.08      0.80     0.80     0.00     0.00        3  Hash#default=
  0.08      0.80     0.80     0.00     0.00        3  Fixnum#>
  0.08      0.80     0.80     0.00     0.00        3  NilClass#nil?
  0.07     14.42     0.79     0.00    13.62        1  ActionView::Base#initialize
  0.07     27.45     0.78     0.00    26.67        1  ActionController::Base#render_for_file
  0.07      0.76     0.76     0.00     0.00        1  Regexp#initialize
  0.07    512.02     0.74     0.00   511.28        1  ActionController::Dispatcher#dispatch
  0.07      2.30     0.73     0.00     1.57        4  ActionController::Request#request_method
  0.07     49.64     0.72     0.00    48.92        1  ActionController::Base#assign_shortcuts
  0.07      5.40     0.71     0.00     4.69        2  ActionView::Base#template_format
  0.07      1.58     0.71     0.00     0.88        2  ActionView::Template#mime_type
  0.07     47.94     0.70     0.00    47.24        2  ActionController::Request#parameters
  0.07      1.06     0.70     0.00     0.36        1  ActionController::Session::AbstractStore::SessionHash#initialize
  0.07      0.70     0.70     0.00     0.00        2  Class#inheritable_attributes
  0.07      1.84     0.70     0.00     1.14        2  Class#read_inheritable_attribute
  0.07      0.70     0.70     0.00     0.00        2  ActionController::Integration::ControllerCapture::ClassMethods#last_instantiation=
  0.07      0.70     0.70     0.00     0.00        2  ActionController::Integration::ControllerCapture::ClassMethods#last_instantiation
  0.07      1.28     0.70     0.00     0.58        7  <Object::ActionController::Routing::Route>#recognize
  0.07      1.13     0.70     0.00     0.44        7  <Object::ActionController::Routing::Route>#recognize
  0.07      2.55     0.70     0.00     1.85        2  HashWithIndifferentAccess#include?
  0.07      3.98     0.70     0.00     3.28        2  HashWithIndifferentAccess#dup
  0.07     29.24     0.69     0.00    28.54        2  ActionView::Base#with_template
  0.07      1.13     0.69     0.00     0.44        2  Rack::Request#request_method
  0.07      2.38     0.69     0.00     1.69        2  ActiveSupport::CoreExtensions::Hash::ReverseMerge#reverse_merge
  0.07      1.58     0.69     0.00     0.89        2  Rack::Utils::HeaderHash#include?
  0.06      1.79     0.69     0.00     1.10        2  ActionController::Rescue#rescues_path
  0.06      0.90     0.69     0.00     0.46        2  <Class::ActionController::Base>#view_paths
  0.06     21.99     0.68     0.00    21.31        1  ActionController::Base#initialize_template_class
  0.06    446.79     0.68     0.00   446.11        1  ActionController::Filters::InstanceMethods#process
  0.06     17.31     0.68     0.00    16.63        2  ActiveSupport::BufferedLogger#info
  0.06     12.86     0.68     0.00    12.18        1  ActionView::Base#initialize_without_template_tracking
  0.06    155.42     0.68     0.00   154.74        1  Rack::Lint#check_env
  0.06      2.01     0.68     0.00     1.55        2  ActionController::StatusCodes#interpret_status
  0.06      1.25     0.67     0.00     0.58        3  StringIO#initialize
  0.06     14.28     0.67     0.00    13.61        2  ActionController::Response#content_type=
  0.06      3.41     0.67     0.00     2.74        2  ActionController::Request#method
  0.06     35.52     0.67     0.00    34.85        2  ActionView::Renderable#render_without_template_tracking
  0.06      0.67     0.67     0.00     0.00        2  ActionView::Renderable#recompile?
  0.06      5.62     0.67     0.00     4.95        2  ActionView::Renderable#compile
  0.06     38.30     0.67     0.00    37.63        2  ActionView::Renderable#render
  0.06     38.96     0.67     0.00    38.30        2  ActionView::Template#render_template
  0.06      1.10     0.67     0.00     0.44        2  ActionView::Template::EagerPath#[]
  0.06      1.10     0.66     0.00     0.44        2  ActionView::PathSet#find_template
  0.06     12.92     0.66     0.00    12.26        2  ActionView::Base#_set_controller_content_type
  0.06      0.66     0.66     0.00     0.00        2  ActionView::Base#template
  0.06      0.66     0.66     0.00     0.00        4  ActionView::Base#template=
