Thread ID: 2221388780
Total: 8968.000000

 %self     total     self     wait    child    calls  name
 30.49   6669.00  2734.00     0.00  6453.00      144  Array#each
 27.50   7598.00  2466.00     0.00  7353.00      581  Proc#call
  7.69   3061.00   690.00     0.00  2371.00        6  Array#map
  6.10    547.00   547.00     0.00     0.00      342  String#sub
  3.21   8968.00   288.00     0.00  8680.00        1  ActiveSupport::Testing::Performance::Profiler#run
  3.20    510.00   287.00     0.00   223.00       16  Hash#each
  3.00   3295.00   269.00     0.00  3026.00        4  Array#reject
  2.50    352.00   224.00     0.00   128.00        1  String#each_line
  1.34   2645.00   120.00     0.00  2525.00      120  Enumerable#any?
  1.19    356.00   107.00     0.00   249.00      107  Rack::Lint::Assertion#assert
  0.98     88.00    88.00     0.00     0.00       88  String#inspect
  0.65     61.00    58.00     0.00     3.00        1  Kernel#raise
  0.57   8651.00    51.00     0.00  8600.00        1  ActionController::Integration::Session#process
  0.52     47.00    47.00     0.00     0.00       18  String#split
  0.51     46.00    46.00     0.00     0.00       46  String#downcase
  0.45    474.00    40.00     0.00   434.00        1  Rack::Lint#check_env
  0.30     27.00    27.00     0.00     0.00        2  Kernel#instance_variable_names
  0.28     25.00    25.00     0.00     0.00       25  <Class::Hash>#allocate
  0.25     53.00    22.00     0.00    31.00        1  Rack::Request#POST
  0.25    119.00    22.00     0.00   101.00       25  Class#new
  0.22   7399.00    20.00     0.00  7397.00        5  Mutex#synchronize
  0.20     42.00    18.00     0.00    24.00        4  ActionController::Response#content_type
  0.19     17.00    17.00     0.00     0.00       17  Symbol#to_s
  0.17     28.00    15.00     0.00    13.00        3  ActionController::Request#query_string
  0.17     19.00    15.00     0.00     4.00        2  Array#map!
  0.16     14.00    14.00     0.00     0.00       14  <Class::Object>#allocate
  0.16    245.00    14.00     0.00   231.00        1  ActionController::Rescue#rescue_action_locally
  0.16    117.00    14.00     0.00   103.00        2  ActionView::Base#with_template
  0.16     26.00    14.00     0.00    12.00        3  ActionController::Response#charset
  0.16   6739.00    14.00     0.00  6732.00       15  Kernel#send
  0.14     92.00    13.00     0.00    79.00        1  Array#select
  0.14   8148.00    13.00     0.00  8135.00        1  Rack::Lint#_call
