Thread ID: 2221388780
Total: 0.018387

 %self     total     self     wait    child    calls  name
 18.03      0.01     0.00     0.00     0.01      581  Proc#call
 13.90      0.01     0.00     0.00     0.01      144  Array#each
  7.10      0.00     0.00     0.00     0.00      107  Rack::Lint::Assertion#assert
  5.07      0.00     0.00     0.00     0.00      342  String#sub
  4.82      0.00     0.00     0.00     0.00        6  Array#map
  3.76      0.02     0.00     0.00     0.02        1  ActiveSupport::Testing::Performance::Profiler#run
  3.37      0.00     0.00     0.00     0.00      535  String#include?
  2.06      0.00     0.00     0.00     0.00       16  Hash#each
  1.91      0.00     0.00     0.00     0.00        4  Array#reject
  1.56      0.00     0.00     0.00     0.00      120  Enumerable#any?
  1.46      0.00     0.00     0.00     0.00        1  String#each_line
  1.45      0.00     0.00     0.00     0.00      135  Hash#[]
  0.88      0.02     0.00     0.00     0.02        1  ActionController::Integration::Session#process
  0.82      0.00     0.00     0.00     0.00       88  String#inspect
  0.63      0.00     0.00     0.00     0.00       25  Class#new
  0.50      0.00     0.00     0.00     0.00       16  Rack::Utils::HeaderHash#[]
  0.48      0.00     0.00     0.00     0.00       10  Rack::Utils::HeaderHash#[]=
  0.48      0.00     0.00     0.00     0.00       46  String#downcase
  0.48      0.00     0.00     0.00     0.00       53  Hash#[]=
  0.45      0.00     0.00     0.00     0.00       36  Kernel#respond_to?
  0.41      0.00     0.00     0.00     0.00        3  IO#write
  0.36      0.00     0.00     0.00     0.00        1  Kernel#raise
  0.36      0.00     0.00     0.00     0.00        3  ActiveSupport::BufferedLogger#add
  0.35      0.00     0.00     0.00     0.00       53  Kernel#instance_of?
  0.35      0.00     0.00     0.00     0.00        2  Hash#inspect
  0.34      0.00     0.00     0.00     0.00       13  ActiveSupport::BufferedLogger#buffer
  0.34      0.01     0.00     0.00     0.01        5  Mutex#synchronize
  0.34      0.00     0.00     0.00     0.00       18  String#split
  0.33      0.00     0.00     0.00     0.00       41  Hash#default
  0.33      0.00     0.00     0.00     0.00        1  Rack::Lint#check_env
  0.31      0.00     0.00     0.00     0.00        2  ActionView::Base#render
  0.30      0.00     0.00     0.00     0.00        1  Rack::Request#POST
  0.30      0.00     0.00     0.00     0.00        4  ActionController::Response#content_type
  0.30      0.00     0.00     0.00     0.00       38  Kernel#hash
  0.29      0.00     0.00     0.00     0.00       10  Rack::Utils::HeaderHash#delete
  0.29      0.00     0.00     0.00     0.00       10  HashWithIndifferentAccess#convert_key
  0.28      0.00     0.00     0.00     0.00       28  Hash#delete
  0.28      0.01     0.00     0.00     0.01       15  Kernel#send
  0.28      0.00     0.00     0.00     0.00        5  HashWithIndifferentAccess#initialize
  0.27      0.00     0.00     0.00     0.00       14  Hash#merge
  0.23      0.00     0.00     0.00     0.00        2  ActionView::Base#with_template
  0.23      0.00     0.00     0.00     0.00        7  <Object::ActionController::Routing::Route>#recognize
  0.23      0.00     0.00     0.00     0.00       25  <Class::Hash>#allocate
  0.22      0.00     0.00     0.00     0.00        4  HashWithIndifferentAccess#default
  0.22      0.00     0.00     0.00     0.00        1  ActionController::Rescue#rescue_action_locally
  0.22      0.00     0.00     0.00     0.00       33  String#<<
  0.22      0.00     0.00     0.00     0.00        2  ActionView::Renderable#render
  0.22      0.00     0.00     0.00     0.00        7  <Object::ActionController::Routing::Route>#recognize
  0.21      0.01     0.00     0.00     0.01        1  ActionController::Dispatcher#dispatch
  0.21      0.01     0.00     0.00     0.01        1  ActionController::Session::CookieStore#call
  0.20      0.00     0.00     0.00     0.00       18  <Class::Thread>#current
  0.20      0.02     0.00     0.00     0.02        1  Rack::Lint#_call
  0.20      0.00     0.00     0.00     0.00        4  ActionView::Renderable#method_name
  0.20      0.01     0.00     0.00     0.01        1  <Module::ActiveSupport::Deprecation>#silence
  0.18      0.01     0.00     0.00     0.01        1  ActionController::Rescue#rescue_action_without_handler
  0.18      0.02     0.00     0.00     0.02        9  Kernel#__send__
  0.18      0.00     0.00     0.00     0.00        1  <Object::ActionController::Routing::RouteSet>#recognize_optimized
  0.18      0.00     0.00     0.00     0.00        2  Module#extend_object
  0.18      0.00     0.00     0.00     0.00        4  ActionView::Renderable#method_name_without_locals
  0.18      0.00     0.00     0.00     0.00       23  Kernel#class
  0.18      0.00     0.00     0.00     0.00        1  ActionController::Base#log_processing_for_request_id
  0.18      0.00     0.00     0.00     0.00       17  Symbol#to_s
  0.17      0.00     0.00     0.00     0.00       19  Array#[]
  0.17      0.00     0.00     0.00     0.00       16  Module#===
  0.17      0.00     0.00     0.00     0.00        7  HashWithIndifferentAccess#update
  0.17      0.00     0.00     0.00     0.00        3  ActionController::Request#query_string
  0.17      0.00     0.00     0.00     0.00        1  ActionController::Base#initialize_template_class
  0.17      0.00     0.00     0.00     0.00        1  ActionController::Request#remote_ip
  0.17      0.00     0.00     0.00     0.00       19  Kernel#is_a?
  0.17      0.00     0.00     0.00     0.00        1  ActionView::Base::CompiledTemplates#_run_erb_47Users47luke4746rvm47gems47ree451468467452010460247gems47actionpack45246346247lib47action_controller47templates47rescues47routing_error46erb
  0.16      0.00     0.00     0.00     0.00       16  Hash#initialize_copy
  0.16      0.00     0.00     0.00     0.00        4  ActiveSupport::BufferedLogger#clear_buffer
  0.16      0.00     0.00     0.00     0.00       14  Regexp#match
  0.16      0.01     0.00     0.00     0.01        1  ActionController::Base#process_without_filters
  0.16      0.00     0.00     0.00     0.00       12  ActionController::Base#response
  0.16      0.00     0.00     0.00     0.00        2  ActionController::Request#normalize_parameters
  0.16      0.00     0.00     0.00     0.00        1  ActionController::Routing::RouteSet#recognize_path
  0.15      0.00     0.00     0.00     0.00        3  ActionController::Response#charset
  0.15      0.00     0.00     0.00     0.00        2  ActiveSupport::Callbacks#run_callbacks
  0.15      0.00     0.00     0.00     0.00       12  String#[]
  0.14      0.00     0.00     0.00     0.00        3  ActiveSupport::CoreExtensions::Hash::IndifferentAccess#with_indifferent_access
  0.14      0.00     0.00     0.00     0.00       12  Module#to_s
  0.14      0.00     0.00     0.00     0.00        2  <Module::Rack::Utils>#parse_nested_query
  0.14      0.00     0.00     0.00     0.00        6  String#blank?
  0.14      0.00     0.00     0.00     0.00        1  ActionController::Base#render_for_text
  0.14      0.00     0.00     0.00     0.00       18  Hash#include?
  0.14      0.00     0.00     0.00     0.00       12  String#to_s
  0.14      0.00     0.00     0.00     0.00        1  ActionController::Response#set_content_length!
  0.14      0.00     0.00     0.00     0.00        3  ActionController::RewindableInput::RewindableIO#method_missing
  0.14      0.00     0.00     0.00     0.00        1  Array#select
  0.14      0.00     0.00     0.00     0.00        2  Kernel#instance_variable_names
  0.14      0.00     0.00     0.00     0.00        8  Kernel#to_s
  0.14      0.00     0.00     0.00     0.00        2  ActionController::Response#content_type=
  0.13      0.00     0.00     0.00     0.00        1  ActionController::Response#each
  0.13      0.00     0.00     0.00     0.00        1  ActionController::Base#render_for_file
  0.13      0.00     0.00     0.00     0.00        2  ActionController::StatusCodes#interpret_status
  0.13      0.00     0.00     0.00     0.00        3  ActiveSupport::BufferedLogger#auto_flush
  0.13      0.00     0.00     0.00     0.00       19  String#==
  0.13      0.00     0.00     0.00     0.00        3  <Class::Rack::Request>#new
  0.13      0.00     0.00     0.00     0.00       14  <Class::Object>#allocate
  0.12      0.00     0.00     0.00     0.00       14  Array#empty?
  0.12      0.02     0.00     0.00     0.02        1  ActionController::Integration::Runner#get
  0.12      0.00     0.00     0.00     0.00        2  ActiveSupport::Callbacks::CallbackChain#run
  0.12      0.00     0.00     0.00     0.00        1  ActiveSupport::Rescuable#handler_for_rescue
  0.12      0.00     0.00     0.00     0.00        1  ActionController::Request#path
  0.12      0.00     0.00     0.00     0.00        2  Array#map!
  0.11      0.00     0.00     0.00     0.00        2  ActionView::Renderable#compile
  0.11      0.00     0.00     0.00     0.00        1  ActionController::Integration::Session#requestify
  0.11      0.00     0.00     0.00     0.00        1  Module#blankslate_original_append_features
  0.11      0.00     0.00     0.00     0.00        2  ActionView::Base#_set_controller_content_type
  0.11      0.00     0.00     0.00     0.00        8  Kernel#inspect
  0.10      0.01     0.00     0.00     0.01        1  ActiveRecord::QueryCache::ClassMethods#cache
  0.10      0.01     0.00     0.00     0.01        1  ActionController::Rescue::ClassMethods#call_with_exception
  0.10      0.00     0.00     0.00     0.00        1  ActionView::Base#_copy_ivars_from_controller
  0.10      0.00     0.00     0.00     0.00       14  Kernel#kind_of?
  0.10      0.00     0.00     0.00     0.00        1  ActionController::Request#content_type
  0.10      0.00     0.00     0.00     0.00        5  Array#include?
  0.10      0.00     0.00     0.00     0.00        4  ActiveSupport::BufferedLogger#flush
  0.10      0.00     0.00     0.00     0.00        1  ActionController::Response#prepare!
  0.10      0.00     0.00     0.00     0.00        1  ActionView::Base::CompiledTemplates#_run_erb_47Users47luke4746rvm47gems47ree451468467452010460247gems47actionpack45246346247lib47action_controller47templates47rescues47layout46erb
  0.10      0.00     0.00     0.00     0.00        2  ActionView::Base#template_format
  0.10      0.01     0.00     0.00     0.01        1  ActiveRecord::ConnectionAdapters::QueryCache#cache
  0.10      0.00     0.00     0.00     0.00        8  Kernel#instance_variable_set
  0.09      0.00     0.00     0.00     0.00        2  ActionController::Request#parameters
  0.09      0.00     0.00     0.00     0.00        1  ActionController::Base#log_processing
  0.09      0.00     0.00     0.00     0.00        1  ActionController::Routing::RouteSet#to_plain_segments
  0.09      0.00     0.00     0.00     0.00        7  Kernel#String
  0.09      0.00     0.00     0.00     0.00        2  ActionController::Request#method
  0.09      0.00     0.00     0.00     0.00        4  Kernel#dup
  0.09      0.00     0.00     0.00     0.00        5  Array#join
  0.09      0.00     0.00     0.00     0.00        7  Fixnum#to_s
  0.09      0.00     0.00     0.00     0.00        1  Time#strftime
  0.09      0.00     0.00     0.00     0.00        1  Mime::Type#=~
  0.09      0.00     0.00     0.00     0.00        4  ActionView::Base#template=
  0.09      0.00     0.00     0.00     0.00        1  ActionController::Response#initialize
  0.09      0.00     0.00     0.00     0.00        1  ActionController::Base#log_processing_for_parameters
  0.09      0.00     0.00     0.00     0.00        7  ActionController::Base#logger
  0.09      0.00     0.00     0.00     0.00        2  ActionView::Template#mime_type
  0.09      0.00     0.00     0.00     0.00        2  Class#read_inheritable_attribute
  0.09      0.00     0.00     0.00     0.00        1  ActionView::Base#initialize
  0.09      0.00     0.00     0.00     0.00        2  Array#-
  0.08      0.00     0.00     0.00     0.00        1  ActionView::Base#initialize_without_template_tracking
  0.08      0.00     0.00     0.00     0.00        1  Rack::Lint#check_headers
  0.08      0.00     0.00     0.00     0.00        7  Kernel#==
  0.08      0.00     0.00     0.00     0.00        4  HashWithIndifferentAccess#delete
  0.08      0.00     0.00     0.00     0.00        1  ActionController::Base#assign_shortcuts
  0.08      0.00     0.00     0.00     0.00        1  Rack::Request#GET
  0.08      0.00     0.00     0.00     0.00        9  Fixnum#==
  0.08      0.00     0.00     0.00     0.00        2  ActionController::Rescue#rescues_path
  0.08      0.00     0.00     0.00     0.00        2  ActionView::Renderable#render_without_template_tracking
  0.08      0.01     0.00     0.00     0.01        1  ActionController::RewindableInput#call
  0.08      0.00     0.00     0.00     0.00        1  ActionController::Base#request_origin
  0.08      0.00     0.00     0.00     0.00        7  Hash#each_pair
  0.08      0.00     0.00     0.00     0.00        1  ActiveSupport::CoreExtensions::Time::Conversions#to_s
  0.08      0.01     0.00     0.00     0.01        1  ActionController::Rescue#clean_backtrace
